search_term,video_id,url,title,category,view_count,comment_count
airline customer service nightmare,FeNjR5jzlqw,https://www.youtube.com/watch?v=FeNjR5jzlqw,China Eastern Airlines Customer Service: One Call to Fix All Flight Problems!,LEVEL_1_AWARE,0,0
airline customer service nightmare,E74L3S4Wblg,https://www.youtube.com/watch?v=E74L3S4Wblg,Booking Problems? Speak To Someone At Delta Airlines Customer Service [Complete Guide],LEVEL_1_AWARE,13,1
airline customer service nightmare,uBXsU5eBTeU,https://www.youtube.com/watch?v=uBXsU5eBTeU,What Should I Ask Airline Customer Service After a Cancellation?,LEVEL_1_AWARE,1,0
airline customer service nightmare,RPcL1QCiMXc,https://www.youtube.com/watch?v=RPcL1QCiMXc,🧳 How to Fix Flight Problems With Spirit Airlines Customer Service,LEVEL_1_AWARE,1,0
airline customer service nightmare,6HY8G0XztiI,https://www.youtube.com/watch?v=6HY8G0XztiI,Lufthansa_ Airlines ®️ Customer Service™️ Contact Numbers The Complete 2025®️,LEVEL_1_AWARE,0,0
airline customer service nightmare,obXH0WFcK0c,https://www.youtube.com/watch?v=obXH0WFcK0c,What role does airline customer service play in problems?,LEVEL_1_AWARE,0,0
airline customer service nightmare,ysN0Uo6mROo,https://www.youtube.com/watch?v=ysN0Uo6mROo,Caribbean Airlines{Customer Service} Enterprise Support -Get Support for All Delta Airlines Problems,LEVEL_1_AWARE,0,0
airline customer service nightmare,WuIqDeQfF3Y,https://www.youtube.com/watch?v=WuIqDeQfF3Y,Delta Airlines Customer Service || Call Delta Airlines || Delta Airlines Customer Service Speak Now.,LEVEL_1_AWARE,0,0
airline customer service nightmare,l023WpRhxy4,https://www.youtube.com/watch?v=l023WpRhxy4,How To PROFIT From Canceled Flights,LEVEL_1_AWARE,740,2
stuck at airport overnight,QaLlDKscdLA,https://www.youtube.com/watch?v=QaLlDKscdLA,I Tested Airports After Midnight,LEVEL_1_AWARE,1831510,2572
stuck at airport overnight,rEoag_uc0Sw,https://www.youtube.com/watch?v=rEoag_uc0Sw,"I Got Stuck At The Airport Overnight, Then Someone Whispered: &quot;Follow Me, Quickly&quot;",LEVEL_1_AWARE,1030,8
stuck at airport overnight,CtLZRUI2wwY,https://www.youtube.com/watch?v=CtLZRUI2wwY,Airport Chaos: Stuck Overnight with Mimi in Jamaica! #shorts,LEVEL_1_AWARE,1015,0
stuck at airport overnight,23rmkxmUJBE,https://www.youtube.com/watch?v=23rmkxmUJBE,"Stuck at the Airport Overnight, a Stranger Sat Beside Me—And His Smile Made Time Stand Still",LEVEL_1_AWARE,47,0
stuck at airport overnight,wE6m379LMRA,https://www.youtube.com/watch?v=wE6m379LMRA,Travel troubles: Flight cancellations in STL leaves those stuck at airport,LEVEL_1_AWARE,859,0
stuck at airport overnight,EN8kgjx-3So,https://www.youtube.com/watch?v=EN8kgjx-3So,End of the Year Dump (12/5): Story About How I Got Stuck at Detroit Airport Overnight,LEVEL_1_AWARE,13,0
stuck at airport overnight,bmJD3UthyTg,https://www.youtube.com/watch?v=bmJD3UthyTg,MSP   Airport Sleep Areas,LEVEL_1_AWARE,2,0
stuck at airport overnight,ELhE_fRLfFs,https://www.youtube.com/watch?v=ELhE_fRLfFs,Heavy Weather  Creates Turmoil | Heathrow: Britain&#39;s Busiest Airport (S2) | Up Close,LEVEL_1_AWARE,6291,0
stuck at airport overnight,FckEoeCuKTk,https://www.youtube.com/watch?v=FckEoeCuKTk,I spent 24 Hours in an Airport!!😮🫣,LEVEL_1_AWARE,3593836,501
missed connection airline,VP4xKfiwqAI,https://www.youtube.com/watch?v=VP4xKfiwqAI,How Does Missed Connection Policy Vary For Flight Transfers?,LEVEL_1_AWARE,0,0
